Class Name,Image Count,Percentage
Actenonyx,20,0.42%
Agonocheila,25,0.53%
Allocinopus,94,1.99%
Amarophilus,13,0.28%
Amarotypus,82,1.74%
Amaroxenus,21,0.45%
Anisodactylus,12,0.25%
Anomotarus,28,0.59%
Aulacopodus,20,0.42%
Bembidion,260,5.51%
Cerabilia,20,0.42%
Clivina,36,0.76%
Ctenognathus,165,3.50%
Demetrida,92,1.95%
Dicrochile,100,2.12%
Diglymma,31,0.66%
Duvaliomimus,51,1.08%
Egadroma,76,1.61%
Euthenarus,124,2.63%
Gaioxenus,121,2.57%
Gourlayia,110,2.33%
Haplanister,188,3.99%
Harpalus,124,2.63%
Holcaspis,199,4.22%
Hypharpax,138,2.93%
Kenodactylus,83,1.76%
Kiwiplatynus,149,3.16%
Kiwitachys,111,2.35%
Kiwitrechus,77,1.63%
Kupeharpalus,76,1.61%
Kupeplatynus,109,2.31%
Kupetrechus,85,1.80%
Laemostenus,129,2.74%
Lecanomerus,101,2.14%
Loxomerus,58,1.23%
Maoripamborus,10,0.21%
Maoritrechus,27,0.57%
Maungazolus,26,0.55%
Mecodema,152,3.22%
Mecyclothorax,27,0.57%
Megadromus,95,2.01%
Meonochilus,28,0.59%
Metaglymma,38,0.81%
Molopsida,38,0.81%
Neocicindela,171,3.63%
Neoferonia,30,0.64%
Nesamblyops,29,0.62%
Notagonum,30,0.64%
Oopterus,43,0.91%
Oregus,30,0.64%
Parabaris,27,0.57%
Paratachys,20,0.42%
Pentagonica,25,0.53%
Pericompsus,21,0.45%
Perigona,11,0.23%
Philophlaeus,24,0.51%
Pholeodytes,24,0.51%
Physolaesthus,22,0.47%
Platynus,25,0.53%
Plocamostethus,27,0.57%
Prosphodrus,28,0.59%
Psegmatopterus,22,0.47%
Pseudoopterus,23,0.49%
Rhytisternus,25,0.53%
Selenochilus,27,0.57%
Syllectus,25,0.53%
Synteratus,23,0.49%
Tarastethus,35,0.74%
Trichopsida,53,1.12%
Triplosarus,25,0.53%
Tuiharpalus,23,0.49%
Tuiplatynus,23,0.49%
Zeanillus,16,0.34%
Zecicindela,183,3.88%
Zeopoecilus,29,0.62%
Zolus,27,0.57%
TOTAL,4715,100.00%
